icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a1b449,RPA5716 ,United States,1714052470,1714052470,-71.0203,42.3639,,True,0.0,306.56,,,,0517,False,0
a22358,RPA5770 ,United States,1714052472,1714052472,-71.0216,42.3636,,True,0.0,36.56,,,,,False,0
a8b8ba,JBU592  ,United States,1714052471,1714052471,-71.0156,42.3688,,True,0.0,185.62,,,,7067,False,0
a842a9,NKS2325 ,United States,1714052474,1714052474,-71.012,42.3661,,True,8.75,199.69,,,,,False,0
a08a6b,DAL     ,United States,1714052466,1714052471,-71.023,42.3649,,True,0.06,78.75,,,,,False,0
a35fc2,JBU809  ,United States,1714052470,1714052470,-71.0144,42.3651,,True,0.06,320.62,,,,1066,False,0
ad935b,JBU2051 ,United States,1714052184,1714052184,-71.0169,42.3676,,True,0.0,208.12,,,,,False,0
a38cd2,JBU531  ,United States,1714052472,1714052472,-71.0129,42.3569,,True,0.26,199.69,,,,,False,0
a874a4,FFT3347 ,United States,1714052474,1714052474,-71.0118,42.3628,,True,8.23,120.94,,,,,False,0
ac76f2,DAL627  ,United States,1714052474,1714052474,-71.0147,42.3606,,True,8.75,199.69,,,,,False,0
aa6113,AAL1315 ,United States,1714052467,1714052474,-71.017,42.3599,,True,0.0,317.81,,,,,False,0
a48ac4,FFT3012 ,United States,1714052372,1714052372,-71.0251,42.3713,,True,0.0,225.0,,,,,False,0
a22a25,RAX957  ,United States,1714052470,1714052470,-71.0224,42.3744,,True,0.0,312.19,,,,,False,0
ab385e,AAL1922 ,United States,1714052474,1714052474,-71.0053,42.3644,,True,40.13,22.5,,,,1042,False,0
a84d62,JBU1061 ,United States,1714052474,1714052474,-71.0148,42.3683,,True,0.0,247.5,,,,,False,0
a20957,RPA5636 ,United States,1714052473,1714052474,-71.0228,42.3615,,True,3.6,354.38,,,,6206,False,0
a3ac7a,DAL336  ,United States,1714052256,1714052256,-71.0243,42.361,,True,0.77,306.56,,,,3115,False,0
